States,Years,Quarter,Districts,Transction_Count,Transaction_Amount
"Andaman and Nicobar Islands",2022,1,"south andaman district",692,982206
"Andhra Pradesh",2022,1,"srikakulam district",1004,1393633
"Andhra Pradesh",2022,4,"srikakulam district",1294,1623449
"Andhra Pradesh",2021,1,"ysr district",1265,729565
"Andhra Pradesh",2020,3,"visakhapatnam district",7906,1892376
"Andaman and Nicobar Islands",2020,2,"nicobars district",3,565
"Andaman and Nicobar Islands",2021,1,"south andaman district",164,167044
"Andhra Pradesh",2021,3,"kurnool district",1027,796678
"Andaman and Nicobar Islands",2021,1,"nicobars district",13,13244
"Andhra Pradesh",2022,1,"west godavari district",1991,3109555
"Andhra Pradesh",2020,3,"vizianagaram district",2999,691281
"Andhra Pradesh",2022,4,"spsr nellore district",2733,3658896
"Andhra Pradesh",2020,3,"prakasam district",2565,722751
"Andhra Pradesh",2021,1,"west godavari district",1460,850251
"Andaman and Nicobar Islands",2022,1,"nicobars district",28,63852
"Andhra Pradesh",2021,3,"chittoor district",1991,1995617
"Andhra Pradesh",2022,1,"spsr nellore district",1878,2608475
"Andhra Pradesh",2022,4,"vizianagaram district",1373,1680979
"Andhra Pradesh",2020,3,"visakhapatnam district",7906,1892376
"Andhra Pradesh",2020,3,"anantapur district",2911,764850
"Andaman and Nicobar Islands",2020,3,"north and middle andaman district",1,281
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",45,90403
"Andhra Pradesh",2022,1,"kurnool district",995,1641988
"Andhra Pradesh",2022,1,"vizianagaram district",949,1344329
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",28,45311
"Andhra Pradesh",2020,3,"prakasam district",2565,722751
"Andhra Pradesh",2020,3,"ysr district",3397,847519
"Andhra Pradesh",2021,3,"guntur district",2519,2102143
"Andhra Pradesh",2022,4,"visakhapatnam district",7636,9911879
"Andaman and Nicobar Islands",2021,1,"nicobars district",13,13244
"Andaman and Nicobar Islands",2020,2,"south andaman district",3,795
"Andaman and Nicobar Islands",2020,3,"south andaman district",35,13651
"Andhra Pradesh",2022,1,"visakhapatnam district",5196,6953446
"Andaman and Nicobar Islands",2020,2,"nicobars district",3,565
"Andhra Pradesh",2021,3,"krishna district",3258,2722279
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",28,45311
"Andhra Pradesh",2020,3,"west godavari district",2543,696749
"Andhra Pradesh",2022,4,"prakasam district",2400,2848596
"Andaman and Nicobar Islands",2020,3,"nicobars district",5,1448
"Andhra Pradesh",2022,1,"prakasam district",1797,2181402
"Andaman and Nicobar Islands",2021,2,"south andaman district",105,121104
"Andhra Pradesh",2021,4,"east godavari district",2532,3543718
"Andaman and Nicobar Islands",2021,2,"south andaman district",105,121104
"Andhra Pradesh",2020,3,"kurnool district",3493,841970
"Andhra Pradesh",2022,4,"anantapur district",2425,3710468
"Andaman and Nicobar Islands",2020,4,"north and middle andaman district",13,17734
"Andhra Pradesh",2022,1,"anantapur district",1551,2556602
"Andaman and Nicobar Islands",2021,2,"nicobars district",4,15089
"Andhra Pradesh",2021,4,"srikakulam district",1116,1152210
"Andhra Pradesh",2022,1,"chittoor district",2887,4304499
"Andhra Pradesh",2020,3,"chittoor district",4422,1178762
"Andaman and Nicobar Islands",2021,2,"nicobars district",4,15089
"Andaman and Nicobar Islands",2022,2,"south andaman district",430,633029
"Andaman and Nicobar Islands",2020,4,"south andaman district",109,137494
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",33,50997
"Andhra Pradesh",2020,3,"anantapur district",2911,764850
"Andaman and Nicobar Islands",2022,2,"nicobars district",26,56308
"Andaman and Nicobar Islands",2020,4,"nicobars district",2,2747
"Andhra Pradesh",2021,4,"spsr nellore district",2369,2345876
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",33,50997
"Andhra Pradesh",2022,4,"ysr district",2261,2993022
"Andaman and Nicobar Islands",2021,3,"south andaman district",182,223699
"Andhra Pradesh",2020,3,"guntur district",4230,1083584
"Andaman and Nicobar Islands",2020,3,"north and middle andaman district",1,281
"Andaman and Nicobar Islands",2022,3,"north and middle andaman district",70,129013
"Andhra Pradesh",2021,4,"vizianagaram district",924,916336
"Andhra Pradesh",2022,4,"west godavari district",2623,3513389
"Andhra Pradesh",2022,1,"guntur district",2748,3988284
"Andaman and Nicobar Islands",2021,3,"south andaman district",182,223699
"Andaman and Nicobar Islands",2021,1,"north and middle andaman district",48,63978
"Andhra Pradesh",2020,3,"ysr district",3397,847519
"Andhra Pradesh",2020,3,"krishna district",4519,1093882
"Andhra Pradesh",2021,4,"visakhapatnam district",4176,5425896
"Andaman and Nicobar Islands",2020,3,"south andaman district",35,13651
"Andaman and Nicobar Islands",2022,3,"south andaman district",535,687813
"Andhra Pradesh",2022,1,"krishna district",3914,5279784
"Andhra Pradesh",2022,1,"ysr district",1439,2086496
"Andhra Pradesh",2022,4,"kurnool district",1810,2859172
"Andhra Pradesh",2021,4,"prakasam district",1181,1328774
"Andaman and Nicobar Islands",2022,3,"nicobars district",38,85640
"Andaman and Nicobar Islands",2021,3,"nicobars district",15,30539
"Andhra Pradesh",2021,1,"kurnool district",1270,508161
"Andhra Pradesh",2022,1,"west godavari district",1991,3109555
"Andhra Pradesh",2022,2,"east godavari district",3103,3899091
"Andhra Pradesh",2022,4,"chittoor district",4641,6166050
"Andhra Pradesh",2020,3,"west godavari district",2543,696749
"Andaman and Nicobar Islands",2021,3,"nicobars district",15,30539
"Andaman and Nicobar Islands",2021,1,"south andaman district",164,167044
"Andhra Pradesh",2021,1,"chittoor district",1629,1058050
"Andhra Pradesh",2022,1,"kurnool district",995,1641988
"Andhra Pradesh",2022,2,"srikakulam district",946,1282760
"Andhra Pradesh",2022,4,"guntur district",5199,6244165
"Andhra Pradesh",2020,3,"kurnool district",3493,841970
"Andaman and Nicobar Islands",2022,4,"north and middle andaman district",112,224198
"Andaman and Nicobar Islands",2021,1,"nicobars district",13,13244
"Andhra Pradesh",2021,1,"guntur district",2412,1398326
"Andhra Pradesh",2022,1,"chittoor district",2887,4304499
"Andhra Pradesh",2022,2,"spsr nellore district",2063,2686947
"Andhra Pradesh",2022,4,"krishna district",5484,6977122
"Andhra Pradesh",2020,3,"chittoor district",4422,1178762
"Andaman and Nicobar Islands",2022,4,"south andaman district",750,1114857
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",28,45311
"Andhra Pradesh",2021,1,"krishna district",2722,1699716
"Andaman and Nicobar Islands",2020,3,"nicobars district",5,1448
