States,Years,Quarter,Districts,Transction_Count,Transaction_Amount
"Andaman and Nicobar Islands",2018,1,"north and middle andaman district",442,931663.0770939873
"Andaman and Nicobar Islands",2018,1,"south andaman district",5688,12560249.34366581
"Andaman and Nicobar Islands",2018,1,"north and middle andaman district",442,931663.0770939873
"Andaman and Nicobar Islands",2018,1,"north and middle andaman district",442,931663.0770939873
"Andaman and Nicobar Islands",2018,1,"north and middle andaman district",442,931663.0770939873
"Andaman and Nicobar Islands",2018,1,"south andaman district",5688,12560249.34366581
"Andaman and Nicobar Islands",2018,1,"nicobars district",528,1139848.801225994
"Andaman and Nicobar Islands",2018,1,"south andaman district",5688,12560249.34366581
"Andaman and Nicobar Islands",2018,1,"nicobars district",528,1139848.801225994
"Andaman and Nicobar Islands",2018,1,"north and middle andaman district",442,931663.0770939873
"Andaman and Nicobar Islands",2018,1,"north and middle andaman district",442,931663.0770939873
"Andaman and Nicobar Islands",2018,1,"north and middle andaman district",442,931663.0770939873
"Andaman and Nicobar Islands",2018,1,"nicobars district",528,1139848.801225994
"Andaman and Nicobar Islands",2018,1,"south andaman district",5688,12560249.34366581
"Andaman and Nicobar Islands",2018,1,"south andaman district",5688,12560249.34366581
"Andaman and Nicobar Islands",2018,1,"south andaman district",5688,12560249.34366581
"Andaman and Nicobar Islands",2018,1,"north and middle andaman district",442,931663.0770939873
"Andaman and Nicobar Islands",2018,2,"north and middle andaman district",825,1317863.0834906558
"Andaman and Nicobar Islands",2018,1,"nicobars district",528,1139848.801225994
"Andaman and Nicobar Islands",2018,2,"north and middle andaman district",825,1317863.0834906558
"Andaman and Nicobar Islands",2018,1,"nicobars district",528,1139848.801225994
"Andaman and Nicobar Islands",2018,1,"north and middle andaman district",442,931663.0770939873
"Andaman and Nicobar Islands",2018,1,"south andaman district",5688,12560249.34366581
"Andaman and Nicobar Islands",2018,1,"south andaman district",5688,12560249.34366581
"Andaman and Nicobar Islands",2018,2,"north and middle andaman district",825,1317863.0834906558
"Andaman and Nicobar Islands",2018,2,"north and middle andaman district",825,1317863.0834906558
"Andaman and Nicobar Islands",2018,2,"south andaman district",9395,23948235.51634325
"Andaman and Nicobar Islands",2018,2,"south andaman district",9395,23948235.51634325
"Andaman and Nicobar Islands",2018,2,"south andaman district",9395,23948235.51634325
"Andaman and Nicobar Islands",2018,1,"north and middle andaman district",442,931663.0770939873
"Andaman and Nicobar Islands",2018,2,"south andaman district",9395,23948235.51634325
"Andaman and Nicobar Islands",2018,2,"north and middle andaman district",825,1317863.0834906558
"Andaman and Nicobar Islands",2018,2,"nicobars district",1120,3072436.9081196385
"Andaman and Nicobar Islands",2018,2,"south andaman district",9395,23948235.51634325
"Andaman and Nicobar Islands",2018,2,"nicobars district",1120,3072436.9081196385
"Andaman and Nicobar Islands",2018,1,"nicobars district",528,1139848.801225994
"Andaman and Nicobar Islands",2018,1,"south andaman district",5688,12560249.34366581
"Andaman and Nicobar Islands",2018,1,"nicobars district",528,1139848.801225994
"Andaman and Nicobar Islands",2018,1,"north and middle andaman district",442,931663.0770939873
"Andaman and Nicobar Islands",2018,2,"nicobars district",1120,3072436.9081196385
"Andaman and Nicobar Islands",2018,3,"north and middle andaman district",1283,4901529.518499676
"Andaman and Nicobar Islands",2018,2,"north and middle andaman district",825,1317863.0834906558
"Andaman and Nicobar Islands",2018,1,"south andaman district",5688,12560249.34366581
"Andaman and Nicobar Islands",2018,3,"north and middle andaman district",1283,4901529.518499676
"Andaman and Nicobar Islands",2018,2,"nicobars district",1120,3072436.9081196385
"Andaman and Nicobar Islands",2018,2,"nicobars district",1120,3072436.9081196385
"Andaman and Nicobar Islands",2018,3,"north and middle andaman district",1283,4901529.518499676
"Andaman and Nicobar Islands",2018,3,"south andaman district",13511,44268112.46425246
"Andaman and Nicobar Islands",2018,2,"south andaman district",9395,23948235.51634325
"Andaman and Nicobar Islands",2018,1,"south andaman district",5688,12560249.34366581
"Andaman and Nicobar Islands",2018,1,"nicobars district",528,1139848.801225994
"Andaman and Nicobar Islands",2018,2,"north and middle andaman district",825,1317863.0834906558
"Andaman and Nicobar Islands",2018,3,"north and middle andaman district",1283,4901529.518499676
"Andaman and Nicobar Islands",2018,1,"nicobars district",528,1139848.801225994
"Andaman and Nicobar Islands",2018,3,"nicobars district",1471,6387829.151558982
"Andaman and Nicobar Islands",2018,3,"north and middle andaman district",1283,4901529.518499676
"Andaman and Nicobar Islands",2018,3,"south andaman district",13511,44268112.46425246
"Andaman and Nicobar Islands",2018,3,"south andaman district",13511,44268112.46425246
"Andaman and Nicobar Islands",2018,1,"north and middle andaman district",442,931663.0770939873
"Andaman and Nicobar Islands",2018,1,"nicobars district",528,1139848.801225994
"Andaman and Nicobar Islands",2018,3,"south andaman district",13511,44268112.46425246
"Andaman and Nicobar Islands",2018,3,"nicobars district",1471,6387829.151558982
"Andaman and Nicobar Islands",2018,2,"north and middle andaman district",825,1317863.0834906558
"Andaman and Nicobar Islands",2018,3,"south andaman district",13511,44268112.46425246
"Andaman and Nicobar Islands",2018,1,"nicobars district",528,1139848.801225994
"Andaman and Nicobar Islands",2018,2,"north and middle andaman district",825,1317863.0834906558
"Andaman and Nicobar Islands",2018,2,"north and middle andaman district",825,1317863.0834906558
"Andaman and Nicobar Islands",2018,3,"nicobars district",1471,6387829.151558982
"Andaman and Nicobar Islands",2018,2,"south andaman district",9395,23948235.51634325
"Andaman and Nicobar Islands",2018,1,"south andaman district",5688,12560249.34366581
"Andaman and Nicobar Islands",2018,4,"north and middle andaman district",2137,7955635.917688001
"Andaman and Nicobar Islands",2018,2,"south andaman district",9395,23948235.51634325
"Andaman and Nicobar Islands",2018,3,"nicobars district",1471,6387829.151558982
"Andaman and Nicobar Islands",2018,2,"nicobars district",1120,3072436.9081196385
"Andaman and Nicobar Islands",2018,4,"north and middle andaman district",2137,7955635.917688001
"Andaman and Nicobar Islands",2018,2,"north and middle andaman district",825,1317863.0834906558
