States,Years,Quarter,Districts,RegisteredUsers,AppOpens
"Andhra Pradesh",2019,2,"east godavari district",945181,7156762
"Andhra Pradesh",2021,3,"srikakulam district",902008,48622126
"Arunachal Pradesh",2018,3,"west kameng district",4765,0
"Arunachal Pradesh",2018,3,"west siang district",1652,0
"Arunachal Pradesh",2019,2,"lower subansiri district",2463,11644
"Andhra Pradesh",2021,2,"spsr nellore district",1176334,74049216
"Andhra Pradesh",2021,3,"prakasam district",1239147,91533813
"Arunachal Pradesh",2019,4,"dibang valley district",289,1738
"Arunachal Pradesh",2018,2,"lower dibang valley district",893,0
"Andhra Pradesh",2020,2,"krishna district",1459041,41234166
"Andhra Pradesh",2023,3,"srikakulam district",1375950,44064462
"Andhra Pradesh",2019,2,"srikakulam district",392764,3230330
"Arunachal Pradesh",2018,3,"kamle district",65,0
"Andhra Pradesh",2021,3,"anantapur district",1606735,124985545
"Andhra Pradesh",2023,3,"visakhapatnam district",4035323,116087299
"Andhra Pradesh",2021,3,"visakhapatnam district",2707931,139540800
"Arunachal Pradesh",2019,4,"west kameng district",12562,313584
"Andhra Pradesh",2020,2,"spsr nellore district",854459,30816403
"Andaman and Nicobar Islands",2018,1,"north and middle andaman district",632,0
"Arunachal Pradesh",2018,3,"shi yomi district",118,0
"Arunachal Pradesh",2019,2,"tirap district",2697,12779
"Andhra Pradesh",2023,3,"prakasam district",1868997,94303883
"Andhra Pradesh",2019,2,"visakhapatnam district",1318740,13681907
"Andhra Pradesh",2020,2,"vizianagaram district",537798,24370380
"Arunachal Pradesh",2019,4,"shi yomi district",266,880
"Andaman and Nicobar Islands",2018,1,"south andaman district",5846,0
"Arunachal Pradesh",2018,2,"longding district",412,0
"Arunachal Pradesh",2019,2,"papum pare district",32800,163673
"Arunachal Pradesh",2018,3,"upper siang district",646,0
"Andhra Pradesh",2023,3,"anantapur district",2421293,152875757
"Andhra Pradesh",2020,2,"ysr district",796769,29644037
"Andaman and Nicobar Islands",2018,1,"nicobars district",262,0
"Andhra Pradesh",2021,3,"kurnool district",1522196,101210508
"Arunachal Pradesh",2018,2,"west siang district",1224,0
"Arunachal Pradesh",2019,2,"anjaw district",1175,4993
"Arunachal Pradesh",2018,3,"kurung kumey district",222,0
"Andhra Pradesh",2023,3,"kurnool district",2295754,124493256
"Arunachal Pradesh",2019,4,"east kameng district",1623,27850
"Arunachal Pradesh",2018,3,"east kameng district",521,0
"Andhra Pradesh",2021,3,"guntur district",2110878,106621413
"Arunachal Pradesh",2018,2,"kamle district",37,0
"Arunachal Pradesh",2019,2,"lower siang district",1457,7737
"Arunachal Pradesh",2018,3,"siang district",373,0
"Arunachal Pradesh",2019,4,"lohit district",7386,129353
"Andhra Pradesh",2023,3,"guntur district",3137289,71855007
"Arunachal Pradesh",2018,3,"lohit district",2612,0
"Andaman and Nicobar Islands",2018,2,"north and middle andaman district",911,0
"Arunachal Pradesh",2018,2,"upper siang district",481,0
"Andhra Pradesh",2021,3,"prakasam district",1239147,91533813
"Arunachal Pradesh",2018,3,"kra daadi district",190,0
"Andhra Pradesh",2019,2,"prakasam district",539462,4488365
